season,week,date,home_team,home_xg,score,away_xg,away_team,referee,game_id,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored,away_goals_scored,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_match_points,away_match_points,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1920,1,2019-08-09,liverpool,1.8,4-1,0.9,norwich city,Michael Oliver,928467bd,2050.40185547,1634.85314941,"['Alisson', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Mohamed Salah', 'Joe Gomez', 'Jordan Henderson', 'Andrew Robertson', 'Divock Origi', 'Trent Alexander-Arnold']","['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Grant Hanley', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki', 'Kenny McLean']",1.103,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,3,0,0,0,0.0,0.0,0
1920,1,2019-08-10,bournemouth,1.3,1-1,1.3,sheffield utd,Kevin Friend,d402cacd,1695.07556152,1623.74536133,"['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Callum Wilson', 'Adam Smith', 'Diego Rico', 'Ryan Fraser', 'Philip Billing', 'Chris Mepham']","['Dean Henderson', 'George Baldock', 'Enda Stevens', 'John Fleck', ""Jack O'Connell"", 'Chris Basham', 'John Lundstram', 'Callum Robinson', 'John Egan', 'Oliver Norwood', 'David McGoldrick']",0.212,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,0,0,0.0,0.0,1
1920,1,2019-08-10,burnley,0.9,3-0,1.2,southampton,Graham Scott,34b99058,1685.84460449,1677.9675293,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters']","['Angus Gunn', 'Jannik Vestergaard', 'Jack Stephens', 'Danny Ings', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Ryan Bertrand', 'Nathan Redmond', 'Jan Bednarek', 'Yan Valery']",0.0159999999999999,0.152,0.0,0.0,0.0,0.0,3,0,0,0,0,0,3,0,0,0,0.0,0.0,0
1920,1,2019-08-10,crystal palace,0.9,0-0,1.1,everton,Jonathan Moss,a802f51e,1746.71411133,1773.84375,"['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Scott Dann', 'Max Meyer', 'Jordan Ayew', 'Andros Townsend', 'Christian Benteke', 'James McArthur', 'Martin Kelly']","['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Morgan Schneiderlin', 'Bernard', 'André Gomes', 'Séamus Coleman']",0.173,0.281,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,1
1920,1,2019-08-10,tottenham,2.4,3-1,0.7,aston villa,Chris Kavanagh,404ee5d3,1894.99633789,1616.38537598,"['Hugo Lloris', 'Danny Rose', 'Toby Alderweireld', 'Davinson Sánchez', 'Harry Winks', 'Harry Kane', 'Érik Lamela', 'Kyle Walker-Peters', 'Moussa Sissoko', 'Lucas Moura', 'Tanguy Ndombele']","['Tom Heaton', 'Neil Taylor', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Conor Hourihane', 'Trézéguet', 'Anwar El Ghazi', 'Björn Engels', 'Ahmed Elmohamady', 'Tyrone Mings']",0.621,-0.017,0.0,0.0,0.0,0.0,3,1,0,0,0,0,3,0,0,0,0.0,0.0,0
1920,1,2019-08-10,watford,0.7,0-3,0.8,brighton,Craig Pawson,38111659,1689.49072266,1620.44067383,"['Ben Foster', 'Craig Dawson', 'Gerard Deulofeu', 'Troy Deeney', 'Craig Cathcart', 'Abdoulaye Doucouré', 'Andre Gray', 'Will Hughes', 'Kiko Femenía', 'José Holebas', 'Étienne Capoue']","['Mathew Ryan', 'Shane Duffy', 'Lewis Dunk', 'Dale Stephens', 'Jürgen Locadia', 'Pascal Groß', 'Glenn Murray', 'Solly March', 'Martín Montoya', 'Davy Pröpper', 'Dan Burn']",0.183,-0.058,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,3,0,0,0.0,0.0,2
1920,1,2019-08-10,west ham,1.1,0-5,3.2,manchester city,Mike Dean,71c8a43e,1733.62585449,2041.45385742,"['Łukasz Fabiański', 'Aaron Cresswell', 'Fabián Balbuena', 'Felipe Anderson', 'Manuel Lanzini', 'Jack Wilshere', 'Sébastien Haller', 'Issa Diop', 'Ryan Fredericks', 'Michail Antonio', 'Declan Rice']","['Ederson', 'Kyle Walker', 'John Stones', 'Raheem Sterling', 'Gabriel Jesus', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Rodri', 'Kevin De Bruyne', 'David Silva', 'Riyad Mahrez']",0.173,1.5429999999999997,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,3,0,0,0.0,0.0,2
1920,1,2019-08-11,leicester city,0.7,0-0,0.7,wolves,Andre Marriner,bf4afd61,1742.85253906,1724.2980957,"['Kasper Schmeichel', 'Ben Chilwell', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Hamza Choudhury', 'Ricardo Pereira', 'Wilfred Ndidi']","['Rui Patrício', 'Matt Doherty', 'Ryan Bennett', 'Rúben Neves', 'Raúl Jiménez', 'Willy Boly', 'Conor Coady', 'Diogo Jota', 'Jonny Castro', 'João Moutinho', 'Leander Dendoncker']",0.374,0.367,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,1
1920,1,2019-08-11,manchester utd,2.2,4-0,1.0,chelsea,Anthony Taylor,d0583d0d,1842.4074707,1887.18469238,"['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Anthony Martial', 'Marcus Rashford', 'Jesse Lingard', 'Andreas Pereira', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']","['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', 'Ross Barkley', 'Tammy Abraham', 'Pedro', 'Kurt Zouma', 'Mateo Kovačić', 'Mason Mount', 'César Azpilicueta', 'Emerson Palmieri']",0.4620000000000001,0.5930000000000001,0.0,0.0,0.0,0.0,4,0,0,0,0,0,3,0,0,0,0.0,0.0,0
1920,1,2019-08-11,newcastle utd,0.4,0-1,1.1,arsenal,Martin Atkinson,1405a610,1719.76818848,1871.06481934,"['Martin Dúbravka', 'Paul Dummett', 'Fabian Schär', 'Jamaal Lascelles', 'Jonjo Shelvey', 'Joelinton', 'Matt Ritchie', 'Isaac Hayden', 'Javier Manquillo', 'Miguel Almirón', 'Sean Longstaff']","['Bernd Leno', 'Sokratis Papastathopoulos', 'Henrikh Mkhitaryan', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nacho Monreal', 'Calum Chambers', 'Reiss Nelson', 'Joe Willock', 'Mattéo Guendouzi', 'Granit Xhaka']",0.151,0.7520000000000001,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,3,0,0,0.0,0.0,2
