season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,referee,game_id,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength
1920,2019-08-09 Liverpool-Norwich City,1,Fri,2019-08-09,20:00,liverpool,1.8,4–1,0.9,norwich city,Michael Oliver,928467bd,2050.40185547,1634.85314941,"['Alisson', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Mohamed Salah', 'Joe Gomez', 'Jordan Henderson', 'Andrew Robertson', 'Divock Origi', 'Trent Alexander-Arnold']","['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Grant Hanley', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki', 'Kenny McLean']",1.103,0.0
1920,2019-08-10 Burnley-Southampton,1,Sat,2019-08-10,15:00,burnley,0.9,3–0,1.2,southampton,Graham Scott,34b99058,1685.84460449,1677.9675293,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters']","['Angus Gunn', 'Jannik Vestergaard', 'Jack Stephens', 'Danny Ings', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Ryan Bertrand', 'Nathan Redmond', 'Jan Bednarek', 'Yan Valery']",0.015999999999999997,0.15200000000000002
1920,2019-08-10 Crystal Palace-Everton,1,Sat,2019-08-10,15:00,crystal palace,0.9,0–0,1.1,everton,Jonathan Moss,a802f51e,1746.71411133,1773.84375,"['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Scott Dann', 'Max Meyer', 'Jordan Ayew', 'Andros Townsend', 'Christian Benteke', 'James McArthur', 'Martin Kelly']","['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Morgan Schneiderlin', 'Bernard', 'André Gomes', 'Séamus Coleman']",0.173,0.281
1920,2019-08-17 Arsenal-Burnley,2,Sat,2019-08-17,12:30,arsenal,0.8,2–1,1.5,burnley,Mike Dean,ff7eda21,1876.90087891,1696.7902832,"['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Alexandre Lacazette', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nacho Monreal', 'David Luiz', 'Reiss Nelson', 'Joe Willock', 'Mattéo Guendouzi']","['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters']",0.782,0.015999999999999997
1920,2019-08-17 Aston Villa-Bournemouth,2,Sat,2019-08-17,15:00,aston villa,2.0,1–2,1.6,bournemouth,Martin Atkinson,7ad0ed82,1614.17553711,1691.47058105,"['Tom Heaton', 'Neil Taylor', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Trézéguet', 'Anwar El Ghazi', 'Björn Engels', 'Ahmed Elmohamady', 'Tyrone Mings']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Charlie Daniels', 'Callum Wilson', 'Adam Smith', 'Harry Wilson', 'Ryan Fraser', 'Philip Billing']",-0.029,0.20400000000000001
1920,2019-08-17 Everton-Watford,2,Sat,2019-08-17,15:00,everton,0.7,1–0,1.2,watford,Lee Mason,f35c8c3a,1775.0020752,1669.6583252,"['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Bernard', 'André Gomes', 'Séamus Coleman', 'Jean-Philippe Gbamin']","['Ben Foster', 'Craig Dawson', 'Gerard Deulofeu', 'Troy Deeney', 'Craig Cathcart', 'Abdoulaye Doucouré', 'Will Hughes', 'Kiko Femenía', 'José Holebas', 'Étienne Capoue', 'Roberto Pereyra']",0.248,0.17200000000000001
1920,2019-08-17 Southampton-Liverpool,2,Sat,2019-08-17,15:00,southampton,1.9,1–2,1.3,liverpool,Andre Marriner,b2a48847,1667.22753906,2051.7043457,"['Angus Gunn', 'Maya Yoshida', 'Jannik Vestergaard', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Ryan Bertrand', 'Nathan Redmond', 'Pierre Højbjerg', 'Jan Bednarek', 'Yan Valery']","['Adrián', 'Virgil van Dijk', 'Georginio Wijnaldum', 'James Milner', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Alex Oxlade-Chamberlain', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']",0.133,0.981
1920,2019-08-18 Chelsea-Leicester City,2,Sun,2019-08-18,16:30,chelsea,1.1,1–1,0.8,leicester city,Oliver Langford,aebf58b9,1872.140625,1740.62561035,"['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', ""N'Golo Kanté"", 'Pedro', 'Kurt Zouma', 'Olivier Giroud', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Emerson Palmieri']","['Kasper Schmeichel', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Hamza Choudhury', 'Ricardo Pereira', 'Wilfred Ndidi', 'Christian Fuchs']",0.578,0.373
1920,2019-08-23 Aston Villa-Everton,3,Fri,2019-08-23,20:00,aston villa,1.0,2–0,1.3,everton,Michael Oliver,3e805eff,1609.71691895,1782.04272461,"['Tom Heaton', 'Neil Taylor', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Trézéguet', 'Björn Engels', 'Jota', 'Frederic Guilbert', 'Tyrone Mings']","['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Morgan Schneiderlin', 'Bernard', 'André Gomes', 'Séamus Coleman']",-0.086,0.281
1920,2019-08-24 Liverpool-Arsenal,3,Sat,2019-08-24,17:30,liverpool,2.5,3–1,1.0,arsenal,Anthony Taylor,102b241e,2056.45385742,1882.62329102,"['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']","['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nacho Monreal', 'Nicolas Pépé', 'David Luiz', 'Joe Willock', 'Mattéo Guendouzi', 'Granit Xhaka']",1.068,0.7390000000000001
1920,2019-08-24 Norwich City-Chelsea,3,Sat,2019-08-24,12:30,norwich city,1.1,2–3,1.5,chelsea,Martin Atkinson,4f4fd2d8,1648.70080566,1869.96850586,"['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Grant Hanley', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki']","['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', 'Ross Barkley', 'Tammy Abraham', 'Kurt Zouma', 'Mateo Kovačić', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Emerson Palmieri']",0.0,0.532
1920,2019-08-25 Bournemouth-Manchester City,3,Sun,2019-08-25,14:00,bournemouth,2.2,1–3,3.0,manchester city,Andre Marriner,7728bd7e,1701.86572266,2045.06591797,"['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Charlie Daniels', 'Callum Wilson', 'Adam Smith', 'Ryan Fraser', 'Philip Billing', 'Chris Mepham']","['Ederson', 'Kyle Walker', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Kevin De Bruyne', 'Bernardo Silva', 'David Silva', 'Nicolás Otamendi']",0.20900000000000002,1.708
1920,2019-08-31 Burnley-Liverpool,4,Sat,2019-08-31,17:30,burnley,0.9,0–3,1.0,liverpool,Chris Kavanagh,af072d61,1701.16247559,2061.48413086,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters', 'Aaron Lennon']","['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']",-0.010999999999999998,1.068
