Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Aaron Appindangoyé,-0.008,-0.006,-0.002,0.0,1992,28.0,UEL,Sivasspor,Gabon,CB,,8.2,8.7,8.9,-3.1,1.5,1.1,1.0,53.3,3.1,0.0
Aaron Connolly,0.032,0.025,0.007,1.29,2000,20.0,Premier League,Brighton,Ireland,ST,"AM, LW",9.6,6.7,7.5,-11.1,0.9,0.9,0.7,34.0,4.6,0.0
Aaron Cresswell,0.028,0.002,0.026,5.07,1989,30.0,Premier League,West Ham,England,LB,CB,9.1,10.4,11.6,-7.9,1.3,0.7,7.5,53.0,3.8,0.0
Aaron Hickey,-0.028,-0.011,-0.016,0.89,2002,18.0,Serie A,Bologna,Scotland,LB,,7.3,10.1,8.7,-3.6,1.9,1.2,0.7,51.0,3.2,0.0
Aaron Leya Iseka,-0.018,-0.019,0.0,1.25,1997,22.0,Ligue 1,Metz,Belgium,ST,,10.4,7.0,8.3,-5.0,0.8,0.8,0.6,44.4,3.9,0.0
Aaron Meijers,-0.074,-0.06,-0.014,0.92,1987,32.0,Eredivisie,Sparta Rotterdam,Netherlands,LB,"RW, LM",9.4,10.0,10.6,-4.6,1.3,1.9,1.8,59.9,3.6,0.0
Aaron Ramsdale,-0.009,-0.006,-0.003,4.52,1998,22.0,Premier League,Sheffield United,England,GK,,3.8,2.8,11.1,-3.1,0.5,0.4,0.6,55.2,1.3,6.9
Aaron Ramsey,0.089,0.079,0.01,2.18,1990,29.0,"UCL, Euros, Serie A","Juventus, Wales",Wales,CM,"AM, ST, LM, RM",14.1,11.2,10.1,-15.8,1.4,1.3,1.3,44.7,5.8,0.0
Aaron Wan-Bissaka,0.077,0.035,0.042,6.02,1997,22.0,"UEL, Premier League",Manchester United,England,RB,WB,7.0,9.4,9.3,2.0,2.2,1.8,0.6,49.6,2.3,0.0
Aarón Escandell,0.01,0.008,0.002,0.66,1995,24.0,"UEL, La Liga",Granada,Spain,GK,,7.0,6.9,9.9,-3.1,1.0,0.9,0.8,51.3,2.6,-2.3
Aarón Martín,-0.023,-0.008,-0.015,2.18,1997,23.0,La Liga,"Celta Vigo, Mainz 05",Spain,LB,WB,6.8,9.4,9.5,-4.1,1.2,1.3,1.3,47.3,2.5,0.0
