League Division,Match Date,Home Team,Away Team,Bet365 Home Win Odds,Bet365 Draw Odds,Bet365 Away Win Odds,Pinnacle Home Win Odds,Pinnacle Draw Odds,Pinnacle Away Win Odds,William Hill Home Win Odds,William Hill Draw Odds,William Hill Away Win Odds,VC Bet Home Win Odds,VC Bet Draw Odds,VC Bet Away Win Odds,Pinnacle Closing Home Win Odds,Pinnacle Closing Draw Odds,Pinnacle Closing Away Win Odds
E0,11/08/2017,Arsenal,Leicester,1.53,4.5,6.5,1.53,4.55,6.85,1.53,4.2,6.0,1.53,4.5,6.5,1.49,4.73,7.25
E0,12/08/2017,Brighton,Man City,11.0,5.5,1.33,10.95,5.55,1.34,10.0,4.8,1.33,10.0,5.5,1.33,11.75,6.15,1.29
E0,12/08/2017,Chelsea,Burnley,1.25,6.5,15.0,1.26,6.3,15.25,1.25,5.5,13.0,1.25,6.25,15.0,1.33,5.4,12.25
E0,12/08/2017,Crystal Palace,Huddersfield,1.83,3.6,5.0,1.83,3.58,5.11,1.8,3.3,5.0,1.83,3.6,5.0,1.79,3.56,5.51
E0,12/08/2017,Everton,Stoke,1.7,3.8,5.75,1.7,3.83,5.81,1.7,3.5,5.5,1.7,3.8,5.75,1.82,3.49,5.42
E0,12/08/2017,Southampton,Swansea,1.62,4.0,6.5,1.64,3.94,6.35,1.62,3.6,6.0,1.65,4.0,5.5,1.56,4.25,6.85
E0,12/08/2017,Watford,Liverpool,6.0,4.2,1.62,5.74,4.29,1.63,5.5,3.8,1.62,6.0,4.0,1.65,6.88,4.27,1.56
E0,12/08/2017,West Brom,Bournemouth,2.4,3.3,3.3,2.46,3.25,3.26,2.5,3.1,3.0,2.5,3.3,3.13,2.65,3.21,3.02
E0,13/08/2017,Man United,West Ham,1.3,5.75,12.0,1.33,5.68,10.85,1.3,5.0,11.0,1.3,5.5,11.5,1.31,5.79,12.01
E0,13/08/2017,Newcastle,Tottenham,5.5,4.0,1.7,5.35,4.0,1.71,5.0,3.75,1.7,5.5,4.0,1.7,4.82,3.9,1.8
