league,season,game,date,home_team,away_team,FTHG,FTAG,FTR,HR,AR,PSCH,PSCD,PSCA,H_Elo,A_Elo
ENG-Premier League,1819,2018-08-10 Man United-Leicester,2018-08-10 12:00:00,Man United,Leicester,2,1,H,0,0,1.55,4.07,7.69,,
ENG-Premier League,1819,2018-08-11 Bournemouth-Cardiff,2018-08-11 12:00:00,Bournemouth,Cardiff,2,0,H,0,0,1.88,3.61,4.7,,
ENG-Premier League,1819,2018-08-11 Fulham-Crystal Palace,2018-08-11 12:00:00,Fulham,Crystal Palace,0,2,A,0,0,2.62,3.38,2.9,,
ENG-Premier League,1819,2018-08-11 Huddersfield-Chelsea,2018-08-11 12:00:00,Huddersfield,Chelsea,0,3,A,0,0,7.24,3.95,1.58,,
ENG-Premier League,1819,2018-08-11 Newcastle-Tottenham,2018-08-11 12:00:00,Newcastle,Tottenham,1,2,A,0,0,4.74,3.53,1.89,,
ENG-Premier League,1819,2018-08-11 Watford-Brighton,2018-08-11 12:00:00,Watford,Brighton,2,0,H,0,0,2.58,3.08,3.22,,
ENG-Premier League,1819,2018-08-11 Wolves-Everton,2018-08-11 12:00:00,Wolves,Everton,2,2,D,0,1,2.44,3.23,3.32,,
ENG-Premier League,1819,2018-08-12 Arsenal-Man City,2018-08-12 12:00:00,Arsenal,Man City,0,2,A,0,0,4.43,4.13,1.81,,
ENG-Premier League,1819,2018-08-12 Liverpool-West Ham,2018-08-12 12:00:00,Liverpool,West Ham,4,0,H,0,0,1.25,6.95,12.0,,
ENG-Premier League,1819,2018-08-12 Southampton-Burnley,2018-08-12 12:00:00,Southampton,Burnley,0,0,D,0,0,2.03,3.19,4.65,,
ENG-Premier League,1819,2018-08-18 Cardiff-Newcastle,2018-08-18 12:00:00,Cardiff,Newcastle,0,0,D,0,1,3.27,3.21,2.47,,
ENG-Premier League,1819,2018-08-18 Chelsea-Arsenal,2018-08-18 12:00:00,Chelsea,Arsenal,3,2,H,0,0,1.83,3.84,4.64,,
ENG-Premier League,1819,2018-08-18 Everton-Southampton,2018-08-18 12:00:00,Everton,Southampton,2,1,H,0,0,1.84,3.63,4.92,,
ENG-Premier League,1819,2018-08-18 Leicester-Wolves,2018-08-18 12:00:00,Leicester,Wolves,2,0,H,1,0,2.14,3.41,3.81,,
ENG-Premier League,1819,2018-08-18 Tottenham-Fulham,2018-08-18 12:00:00,Tottenham,Fulham,3,1,H,0,0,1.27,6.5,11.96,,
ENG-Premier League,1819,2018-08-18 West Ham-Bournemouth,2018-08-18 12:00:00,West Ham,Bournemouth,1,2,A,0,0,2.1,3.6,3.74,,
ENG-Premier League,1819,2018-08-19 Brighton-Man United,2018-08-19 12:00:00,Brighton,Man United,3,2,H,0,0,5.9,3.7,1.71,,
ENG-Premier League,1819,2018-08-19 Burnley-Watford,2018-08-19 12:00:00,Burnley,Watford,1,3,A,0,0,2.48,3.11,3.36,,
ENG-Premier League,1819,2018-08-19 Man City-Huddersfield,2018-08-19 12:00:00,Man City,Huddersfield,6,1,H,0,0,1.08,13.93,36.05,,
ENG-Premier League,1819,2018-08-20 Crystal Palace-Liverpool,2018-08-20 12:00:00,Crystal Palace,Liverpool,0,2,A,1,0,8.01,5.28,1.41,,
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham,2018-08-25 12:00:00,Arsenal,West Ham,3,1,H,0,0,1.37,5.65,8.67,,
ENG-Premier League,1819,2018-08-25 Bournemouth-Everton,2018-08-25 12:00:00,Bournemouth,Everton,2,2,D,1,1,2.68,3.51,2.75,,
ENG-Premier League,1819,2018-08-25 Huddersfield-Cardiff,2018-08-25 12:00:00,Huddersfield,Cardiff,0,0,D,1,0,2.46,3.03,3.5,,
ENG-Premier League,1819,2018-08-25 Liverpool-Brighton,2018-08-25 12:00:00,Liverpool,Brighton,1,0,H,0,0,1.15,9.48,22.0,,
ENG-Premier League,1819,2018-08-25 Southampton-Leicester,2018-08-25 12:00:00,Southampton,Leicester,1,2,A,1,0,2.35,3.28,3.44,,
ENG-Premier League,1819,2018-08-25 Wolves-Man City,2018-08-25 12:00:00,Wolves,Man City,1,1,D,0,0,12.01,5.82,1.3,,
ENG-Premier League,1819,2018-08-26 Fulham-Burnley,2018-08-26 12:00:00,Fulham,Burnley,4,2,H,0,0,2.26,3.23,3.71,,
ENG-Premier League,1819,2018-08-26 Newcastle-Chelsea,2018-08-26 12:00:00,Newcastle,Chelsea,1,2,A,0,0,6.66,4.25,1.57,,
ENG-Premier League,1819,2018-08-26 Watford-Crystal Palace,2018-08-26 12:00:00,Watford,Crystal Palace,2,1,H,0,0,2.37,3.37,3.3,,
ENG-Premier League,1819,2018-08-27 Man United-Tottenham,2018-08-27 12:00:00,Man United,Tottenham,0,3,A,0,0,2.62,3.35,2.93,,
ENG-Premier League,1819,2018-09-01 Brighton-Fulham,2018-09-01 12:00:00,Brighton,Fulham,2,2,D,0,0,2.17,3.52,3.61,,
ENG-Premier League,1819,2018-09-01 Chelsea-Bournemouth,2018-09-01 12:00:00,Chelsea,Bournemouth,2,0,H,0,0,1.32,5.98,10.48,,
ENG-Premier League,1819,2018-09-01 Crystal Palace-Southampton,2018-09-01 12:00:00,Crystal Palace,Southampton,0,2,A,0,0,2.58,3.18,3.11,,
ENG-Premier League,1819,2018-09-01 Everton-Huddersfield,2018-09-01 12:00:00,Everton,Huddersfield,1,1,D,0,0,1.57,3.96,7.47,,
ENG-Premier League,1819,2018-09-01 Leicester-Liverpool,2018-09-01 12:00:00,Leicester,Liverpool,1,2,A,0,0,8.17,4.75,1.45,,
ENG-Premier League,1819,2018-09-01 Man City-Newcastle,2018-09-01 12:00:00,Man City,Newcastle,2,1,H,0,0,1.12,10.43,29.28,,
ENG-Premier League,1819,2018-09-01 West Ham-Wolves,2018-09-01 12:00:00,West Ham,Wolves,0,1,A,0,0,2.6,3.26,3.02,,
ENG-Premier League,1819,2018-09-02 Burnley-Man United,2018-09-02 12:00:00,Burnley,Man United,0,2,A,0,1,6.72,4.02,1.6,,
ENG-Premier League,1819,2018-09-02 Cardiff-Arsenal,2018-09-02 12:00:00,Cardiff,Arsenal,2,3,A,0,0,6.34,4.47,1.56,,
ENG-Premier League,1819,2018-09-02 Watford-Tottenham,2018-09-02 12:00:00,Watford,Tottenham,2,1,H,0,0,5.6,3.97,1.69,,
ENG-Premier League,1819,2018-09-15 Bournemouth-Leicester,2018-09-15 12:00:00,Bournemouth,Leicester,4,2,H,0,1,2.46,3.35,3.17,,
ENG-Premier League,1819,2018-09-15 Chelsea-Cardiff,2018-09-15 12:00:00,Chelsea,Cardiff,4,1,H,0,0,1.14,8.85,23.0,,
ENG-Premier League,1819,2018-09-15 Huddersfield-Crystal Palace,2018-09-15 12:00:00,Huddersfield,Crystal Palace,0,1,A,0,0,3.47,3.22,2.37,,
ENG-Premier League,1819,2018-09-15 Man City-Fulham,2018-09-15 12:00:00,Man City,Fulham,3,0,H,0,0,1.1,12.75,25.0,,
ENG-Premier League,1819,2018-09-15 Newcastle-Arsenal,2018-09-15 12:00:00,Newcastle,Arsenal,1,2,A,0,0,4.46,3.86,1.86,,
ENG-Premier League,1819,2018-09-15 Tottenham-Liverpool,2018-09-15 12:00:00,Tottenham,Liverpool,1,2,A,0,0,3.14,3.57,2.37,,
ENG-Premier League,1819,2018-09-15 Watford-Man United,2018-09-15 12:00:00,Watford,Man United,1,2,A,0,1,4.8,3.68,1.85,,
ENG-Premier League,1819,2018-09-16 Everton-West Ham,2018-09-16 12:00:00,Everton,West Ham,1,3,A,0,0,2.17,3.42,3.74,,
ENG-Premier League,1819,2018-09-16 Wolves-Burnley,2018-09-16 12:00:00,Wolves,Burnley,1,0,H,0,0,1.75,3.65,5.75,,
ENG-Premier League,1819,2018-09-17 Southampton-Brighton,2018-09-17 12:00:00,Southampton,Brighton,2,2,D,0,0,2.06,3.34,4.17,,
ENG-Premier League,1819,2018-09-22 Brighton-Tottenham,2018-09-22 12:00:00,Brighton,Tottenham,1,2,A,0,0,5.52,3.99,1.7,,
ENG-Premier League,1819,2018-09-22 Burnley-Bournemouth,2018-09-22 12:00:00,Burnley,Bournemouth,4,0,H,0,0,3.38,3.38,2.34,,
ENG-Premier League,1819,2018-09-22 Cardiff-Man City,2018-09-22 12:00:00,Cardiff,Man City,0,5,A,0,0,21.63,8.65,1.15,,
ENG-Premier League,1819,2018-09-22 Crystal Palace-Newcastle,2018-09-22 12:00:00,Crystal Palace,Newcastle,0,0,D,0,0,2.15,3.29,3.9,,
ENG-Premier League,1819,2018-09-22 Fulham-Watford,2018-09-22 12:00:00,Fulham,Watford,1,1,D,0,0,2.86,3.45,2.64,,
ENG-Premier League,1819,2018-09-22 Leicester-Huddersfield,2018-09-22 12:00:00,Leicester,Huddersfield,3,1,H,0,0,1.72,3.67,5.91,,
ENG-Premier League,1819,2018-09-22 Liverpool-Southampton,2018-09-22 12:00:00,Liverpool,Southampton,3,0,H,0,0,1.2,7.28,15.97,,
ENG-Premier League,1819,2018-09-22 Man United-Wolves,2018-09-22 12:00:00,Man United,Wolves,1,1,D,0,0,1.6,3.85,6.81,,
ENG-Premier League,1819,2018-09-23 Arsenal-Everton,2018-09-23 12:00:00,Arsenal,Everton,2,0,H,0,0,1.4,5.46,7.94,,
ENG-Premier League,1819,2018-09-23 West Ham-Chelsea,2018-09-23 12:00:00,West Ham,Chelsea,0,0,D,0,0,6.86,4.73,1.5,,
ENG-Premier League,1819,2018-09-29 Arsenal-Watford,2018-09-29 12:00:00,Arsenal,Watford,2,0,H,0,0,1.49,4.88,6.75,,
ENG-Premier League,1819,2018-09-29 Chelsea-Liverpool,2018-09-29 12:00:00,Chelsea,Liverpool,1,1,D,0,0,2.83,3.51,2.63,,
ENG-Premier League,1819,2018-09-29 Everton-Fulham,2018-09-29 12:00:00,Everton,Fulham,3,0,H,0,0,1.65,4.32,5.49,,
ENG-Premier League,1819,2018-09-29 Huddersfield-Tottenham,2018-09-29 12:00:00,Huddersfield,Tottenham,0,2,A,0,0,6.19,3.88,1.66,,
ENG-Premier League,1819,2018-09-29 Man City-Brighton,2018-09-29 12:00:00,Man City,Brighton,2,0,H,0,0,1.1,11.74,28.42,,
ENG-Premier League,1819,2018-09-29 Newcastle-Leicester,2018-09-29 12:00:00,Newcastle,Leicester,0,2,A,0,0,2.86,3.13,2.82,,
ENG-Premier League,1819,2018-09-29 West Ham-Man United,2018-09-29 12:00:00,West Ham,Man United,3,1,H,0,0,4.08,3.56,2.03,,
ENG-Premier League,1819,2018-09-29 Wolves-Southampton,2018-09-29 12:00:00,Wolves,Southampton,2,0,H,0,0,1.96,3.48,4.5,,
ENG-Premier League,1819,2018-09-30 Cardiff-Burnley,2018-09-30 12:00:00,Cardiff,Burnley,1,2,A,0,0,2.5,3.16,3.32,,
ENG-Premier League,1819,2018-10-01 Bournemouth-Crystal Palace,2018-10-01 12:00:00,Bournemouth,Crystal Palace,2,1,H,0,0,2.33,3.52,3.27,,
ENG-Premier League,1819,2018-10-05 Brighton-West Ham,2018-10-05 12:00:00,Brighton,West Ham,1,0,H,0,0,2.77,3.24,2.87,,
ENG-Premier League,1819,2018-10-06 Burnley-Huddersfield,2018-10-06 12:00:00,Burnley,Huddersfield,1,1,D,0,0,2.39,2.99,3.75,,
ENG-Premier League,1819,2018-10-06 Crystal Palace-Wolves,2018-10-06 12:00:00,Crystal Palace,Wolves,0,1,A,0,0,2.85,3.26,2.77,,
ENG-Premier League,1819,2018-10-06 Leicester-Everton,2018-10-06 12:00:00,Leicester,Everton,1,2,A,1,0,2.32,3.28,3.49,,
ENG-Premier League,1819,2018-10-06 Man United-Newcastle,2018-10-06 12:00:00,Man United,Newcastle,3,2,H,0,0,1.4,4.75,10.06,,
