iter	MultiClass
0	1.079482245
1	1.064336698
2	1.051537055
3	1.039285998
4	1.030162181
5	1.020426881
6	1.012410455
7	1.005208641
8	0.998623829
9	0.9944978171
10	0.9910403137
11	0.986432581
12	0.9829252592
13	0.9805557686
14	0.9764774842
15	0.9746423272
16	0.9731449644
17	0.9712405077
18	0.9687635997
19	0.9671848475
20	0.9645599661
21	0.9635151853
22	0.9618118573
23	0.9593862533
24	0.9588723584
25	0.9574946639
26	0.9557319629
27	0.9548970404
28	0.9536844338
29	0.9520431121
30	0.9508591376
31	0.9497284606
32	0.9483464376
33	0.9473982548
34	0.9460338386
35	0.9451281624
36	0.9445151799
37	0.9436829884
38	0.9432118562
39	0.9421055641
40	0.9413634361
41	0.9406334049
42	0.9399702415
43	0.9392762074
44	0.9388281553
45	0.9378363168
46	0.9370750406
47	0.9363415899
48	0.9352571747
49	0.9345147707
50	0.9335290037
51	0.9330899241
52	0.9324583499
53	0.9319414019
54	0.9315179036
55	0.930584724
56	0.9300181948
57	0.9296791818
58	0.9293596896
59	0.9288153406
60	0.9284762478
61	0.9278226368
62	0.9271016785
63	0.9264972897
64	0.9258868964
65	0.9254068229
66	0.9242977894
67	0.9239583929
68	0.9236378791
69	0.9230265136
70	0.9223884982
71	0.9220927295
72	0.9214788237
73	0.9207166014
74	0.9202760498
75	0.9196786532
76	0.919223862
77	0.9190046862
78	0.9184768045
79	0.9177329102
80	0.9174895918
81	0.9162058035
82	0.9158856929
83	0.9147077095
84	0.9140646054
85	0.9136553364
86	0.9132112883
87	0.9122175077
88	0.9117767366
89	0.9112477629
90	0.9105336133
91	0.9101559637
92	0.9097158968
93	0.9091828029
94	0.908565384
95	0.9082069647
96	0.9076744727
97	0.9068669793
98	0.9058355029
99	0.9051727753
