iter	Passed	Remaining
0	60	5955
1	62	3064
2	64	2082
3	66	1587
4	67	1288
5	69	1089
6	71	945
7	72	834
8	73	747
9	75	677
10	76	619
11	78	573
12	79	531
13	80	496
14	82	465
15	83	437
16	84	414
17	86	393
18	87	373
19	88	355
20	90	340
21	91	325
22	93	312
23	94	299
24	95	287
25	97	276
26	98	266
27	100	257
28	101	248
29	102	239
30	104	231
31	105	224
32	106	216
33	108	210
34	109	203
35	111	197
36	112	191
37	113	185
38	115	180
39	116	175
40	118	170
41	119	165
42	120	160
43	122	155
44	123	151
45	124	146
46	126	142
47	127	138
48	129	134
49	130	130
50	132	126
51	133	123
52	134	119
53	136	116
54	137	112
55	139	109
56	141	106
57	142	103
58	144	100
59	147	98
60	148	94
61	149	91
62	151	88
63	153	86
64	155	83
65	156	80
66	158	78
67	160	75
68	162	73
69	164	70
70	165	67
71	167	65
72	169	62
73	171	60
74	173	57
75	175	55
76	177	52
77	178	50
78	180	47
79	181	45
80	184	43
81	186	40
82	188	38
83	192	36
84	194	34
85	196	31
86	198	29
87	200	27
88	202	24
89	204	22
90	206	20
91	210	18
92	212	15
93	214	13
94	216	11
95	218	9
96	220	6
97	222	4
98	224	2
99	226	0
