match,outcome,odds
Arsenal vs Wolverhampton Wanderers,Arsenal,1.172222222222222
Arsenal vs Wolverhampton Wanderers,Draw,7.716666666666667
Arsenal vs Wolverhampton Wanderers,Wolverhampton Wanderers,15.055555555555555
Brentford vs Crystal Palace,Brentford,2.4255555555555555
Brentford vs Crystal Palace,Crystal Palace,2.9144444444444444
Brentford vs Crystal Palace,Draw,3.4000000000000004
Chelsea vs Manchester City,Chelsea,3.9444444444444446
Chelsea vs Manchester City,Draw,3.922222222222222
Chelsea vs Manchester City,Manchester City,1.8577777777777778
Everton vs Brighton and Hove Albion,Brighton and Hove Albion,2.6575
Everton vs Brighton and Hove Albion,Draw,3.36125
Everton vs Brighton and Hove Albion,Everton,2.66
Ipswich Town vs Liverpool,Draw,5.897777777777778
Ipswich Town vs Liverpool,Ipswich Town,8.552222222222222
Ipswich Town vs Liverpool,Liverpool,1.317777777777778
Leicester City vs Tottenham Hotspur,Draw,4.388888888888889
Leicester City vs Tottenham Hotspur,Leicester City,5.216666666666667
Leicester City vs Tottenham Hotspur,Tottenham Hotspur,1.587777777777778
Manchester United vs Fulham,Draw,4.121428571428572
Manchester United vs Fulham,Fulham,5.057142857142857
Manchester United vs Fulham,Manchester United,1.6371428571428572
Newcastle United vs Southampton,Draw,5.6675
Newcastle United vs Southampton,Newcastle United,1.32875
Newcastle United vs Southampton,Southampton,8.2825
Nottingham Forest vs Bournemouth,Bournemouth,2.8866666666666667
Nottingham Forest vs Bournemouth,Draw,3.4466666666666668
Nottingham Forest vs Bournemouth,Nottingham Forest,2.4222222222222225
West Ham United vs Aston Villa,Aston Villa,2.7333333333333334
West Ham United vs Aston Villa,Draw,3.664444444444445
West Ham United vs Aston Villa,West Ham United,2.425555555555556
