match,bookmaker,outcome,odds
Manchester United vs Fulham,BetRivers,Fulham,5.5
Manchester United vs Fulham,BetRivers,Manchester United,1.6
Manchester United vs Fulham,BetRivers,Draw,4.1
Manchester United vs Fulham,DraftKings,Fulham,4.9
Manchester United vs Fulham,DraftKings,Manchester United,1.67
Manchester United vs Fulham,DraftKings,Draw,4.1
Manchester United vs Fulham,BetMGM,Fulham,4.8
Manchester United vs Fulham,BetMGM,Manchester United,1.62
Manchester United vs Fulham,BetMGM,Draw,4.2
Manchester United vs Fulham,FanDuel,Fulham,5.2
Manchester United vs Fulham,FanDuel,Manchester United,1.67
Manchester United vs Fulham,FanDuel,Draw,4.0
Manchester United vs Fulham,Caesars,Fulham,5.25
Manchester United vs Fulham,Caesars,Manchester United,1.59
Manchester United vs Fulham,Caesars,Draw,4.2
Manchester United vs Fulham,BetUS,Fulham,4.95
Manchester United vs Fulham,BetUS,Manchester United,1.64
Manchester United vs Fulham,BetUS,Draw,4.15
Manchester United vs Fulham,Bovada,Fulham,4.8
Manchester United vs Fulham,Bovada,Manchester United,1.67
Manchester United vs Fulham,Bovada,Draw,4.1
Ipswich Town vs Liverpool,BetRivers,Ipswich Town,8.5
Ipswich Town vs Liverpool,BetRivers,Liverpool,1.3
Ipswich Town vs Liverpool,BetRivers,Draw,6.25
Ipswich Town vs Liverpool,DraftKings,Ipswich Town,8.0
Ipswich Town vs Liverpool,DraftKings,Liverpool,1.32
Ipswich Town vs Liverpool,DraftKings,Draw,6.0
Ipswich Town vs Liverpool,BetMGM,Ipswich Town,8.0
Ipswich Town vs Liverpool,BetMGM,Liverpool,1.33
Ipswich Town vs Liverpool,BetMGM,Draw,5.75
Ipswich Town vs Liverpool,FanDuel,Ipswich Town,8.5
Ipswich Town vs Liverpool,FanDuel,Liverpool,1.31
Ipswich Town vs Liverpool,FanDuel,Draw,5.9
Ipswich Town vs Liverpool,Caesars,Ipswich Town,9.0
Ipswich Town vs Liverpool,Caesars,Liverpool,1.31
Ipswich Town vs Liverpool,Caesars,Draw,5.5
Ipswich Town vs Liverpool,BetOnline.ag,Ipswich Town,8.8
Ipswich Town vs Liverpool,BetOnline.ag,Liverpool,1.33
Ipswich Town vs Liverpool,BetOnline.ag,Draw,5.85
Ipswich Town vs Liverpool,LowVig.ag,Ipswich Town,8.8
Ipswich Town vs Liverpool,LowVig.ag,Liverpool,1.33
