home_team_elo,away_team_elo,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1884.93444824,1697.49816895,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
1673.78051758,1576.49035645,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
1633.79968262,1692.95166016,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2
1567.10131836,1837.00427246,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2
1670.87133789,1914.84887695,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2
1626.43530273,1632.8684082,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
1593.07910156,1699.56262207,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1
1824.0012207,1974.96166992,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2
1917.3302002,1673.73278809,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
1653.50097656,1692.93078613,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1
1573.3782959,1669.71362305,1.4,1.0,2.2,2.0,0,1,2,2,0,0,0.0,0.0,1
1845.78881836,1818.83764648,1.9,0.5,0.3,1.7,3,0,0,2,3,0,0.0,0.0,0
1701.18139648,1655.48693848,1.0,1.1,1.0,1.4,2,0,2,0,1,1,0.0,0.0,0
1697.54724121,1596.94384766,1.8,1.0,1.5,1.0,1,2,2,2,0,1,0.0,0.0,0
1921.48999023,1624.9140625,2.0,0.7,1.0,1.0,2,0,1,2,3,0,0.0,0.0,0
1672.72375488,1682.37609863,0.7,2.2,4.0,1.4,0,2,4,0,0,3,0.0,0.0,2
1626.33166504,1890.36889648,0.3,1.5,1.2,1.8,0,2,2,1,0,3,0.0,0.0,0
1704.69567871,1638.45556641,1.4,1.2,1.1,0.3,0,2,0,0,1,3,0.0,0.0,2
1985.60876465,1563.8001709,1.7,0.3,0.5,1.9,2,0,0,3,3,0,0.0,0.0,0
1707.32080078,1923.82275391,1.0,4.0,0.7,0.7,2,4,0,0,3,3,0.0,0.0,2
1809.38305664,1659.75830078,2.9,1.9,3.3,5.3,2,1,5,6,0,0,0.0,0.0,0
1687.83105469,1702.81530762,3.5,2.5,2.6,2.7,4,4,1,3,6,4,0.0,0.0,1
1558.46765137,1570.50268555,1.0,2.3,6.1,3.8,1,0,9,2,0,1,0.0,0.0,1
1926.13427734,1635.78442383,6.6,2.0,1.1,2.6,6,3,0,4,6,3,0.0,0.0,0
1646.34265137,1699.57006836,2.8,2.0,2.9,2.6,1,3,2,2,1,3,0.0,0.0,2
1587.41052246,1983.4309082,2.1,5.9,1.2,1.2,2,8,4,1,1,6,0.0,0.0,1
1619.11645508,1673.13830566,2.3,2.0,3.9,2.6,1,1,5,3,0,1,0.0,0.0,0
1665.07873535,1847.73303223,2.6,3.5,2.9,2.7,1,6,2,2,1,6,0.0,0.0,2
1651.18737793,1697.4987793,2.7,1.4,0.8999999999999999,3.3,5,2,1,2,6,3,0.0,0.0,0
1873.40563965,1919.77722168,2.9,4.9,3.5,2.6,4,5,4,2,3,6,0.0,0.0,2
1631.77893066,1627.83398438,2.6,3.6,4.2,5.4,3,5,5,7,3,3,0.0,0.0,1
1850.36499023,1683.92297363,5.0,5.7,2.9,3.2,8,6,3,3,9,7,0.0,0.0,0
1687.42492676,1635.48791504,2.4,3.3,4.5,3.5,3,2,4,4,3,1,0.0,0.0,2
1701.75463867,1554.47644043,3.1,1.2,4.9,7.000000000000001,6,1,5,9,5,1,0.0,0.0,1
1705.45605469,1925.17114258,2.6,8.2,3.1,1.7,5,7,3,0,6,9,0.0,0.0,2
1973.53356934,1657.47814941,7.5,2.8000000000000003,2.2,4.4,9,2,2,4,7,1,0.0,0.0,0
1652.85656738,1592.3392334,3.0,3.1,7.1,2.8,2,3,9,5,0,2,0.0,0.0,2
1651.97192383,1856.07958984,3.5,4.4,3.9,4.7,3,4,7,7,1,3,0.0,0.0,2
1569.52514648,1811.31616211,3.2,4.7,4.0,4.4,0,5,2,6,2,3,0.0,0.0,2
1656.29248047,1932.13452148,3.9,6.1,1.9,4.1,7,8,2,2,9,9,0.0,0.0,0
1679.80859375,1701.3458252,6.6000000000000005,3.6,4.3,4.1,6,6,5,5,7,6,0.0,0.0,0
1854.47924805,1565.7277832,6.1,4.2,3.8,5.7,10,2,3,5,12,2,0.0,0.0,0
1559.91516113,1671.54382324,1.6,4.8,7.800000000000001,7.2,2,3,10,6,2,3,0.0,0.0,2
1974.85668945,1629.77966309,9.5,5.2,2.7,8.2,11,7,3,9,10,4,0.0,0.0,0
1656.15490723,1815.11352539,3.3000000000000003,6.4,6.4,5.4,3,8,6,8,1,6,0.0,0.0,2
1918.99401855,1929.28137207,6.7,9.2,4.5,2.7,9,9,4,1,9,12,0.0,0.0,2
